State,Transaction_amount
Andaman & Nicobar,43692000.0
Andhra Pradesh,24646800000.0
Arunachal Pradesh,165580000.0
Assam,2657680000.0
Bihar,11030800000.0
Chandigarh,467699000.0
Chhattisgarh,3640690000.0
Dadra and Nagar Haveli and Daman and Diu,208763000.0
Delhi,15310100000.0
Goa,383805000.0
Gujarat,13750800000.0
Haryana,9839500000.0
Himachal Pradesh,1045790000.0
Jammu & Kashmir,892468000.0
Jharkhand,3531020000.0
Karnataka,28272300000.0
Kerala,4645550000.0
Ladakh,44754700.0
Lakshadweep,1745300.0
Madhya Pradesh,17230500000.0
Maharashtra,43154400000.0
Manipur,305104000.0
Meghalaya,129031000.0
Mizoram,56059800.0
Nagaland,126963000.0
Odisha,8024320000.0
Puducherry,289800000.0
Punjab,4370760000.0
Rajasthan,23387100000.0
Sikkim,103847000.0
Tamil Nadu,13155300000.0
Telangana,31877300000.0
Tripura,189808000.0
Uttar Pradesh,22266900000.0
Uttarakhand,1979820000.0
West Bengal,13331500000.0
