State,User Count
Andaman & Nicobar,28368
Andhra Pradesh,13022060
Arunachal Pradesh,149066
Assam,2185938
Bihar,9351234
Chandigarh,312887
Chhattisgarh,3016487
Dadra and Nagar Haveli and Daman and Diu,218496
Delhi,7826197
Goa,391900
Gujarat,10259843
Haryana,7018770
Himachal Pradesh,1106025
Jammu & Kashmir,735408
Jharkhand,3651393
Karnataka,17016980
Kerala,4078316
Ladakh,47790
Lakshadweep,2772
Madhya Pradesh,10151371
Maharashtra,26168390
Manipur,177374
Meghalaya,113814
Mizoram,46499
Nagaland,107143
Odisha,6652970
Puducherry,230908
Punjab,3739502
Rajasthan,12142053
Sikkim,104631
Tamil Nadu,10872368
Telangana,12306860
Tripura,299962
Uttar Pradesh,20136256
Uttarakhand,1943606
West Bengal,11960822
